,Country,City,AccentCity,Region,Population,Latitude,Longitude
291406,br,brasilia,Brasília,7,2207812.0,-15.783333,-47.916667
292800,br,campina grande,Campina Grande,17,348943.0,-7.216667,-35.883333
292817,br,campinas,Campinas,27,1031573.0,-22.9,-47.083333
292945,br,campo grande,Campo Grande,11,729164.0,-20.45,-54.61666700000001
293013,br,campos,Campos,21,387422.0,-21.75,-41.3
293304,br,canoas,Canoas,23,328297.0,-29.933333,-51.18333300000001
293813,br,carapicuiba,Carapicuíba,27,361120.0,-23.516667,-46.833333
293874,br,cariacica,Cariacica,8,330681.0,-20.266667,-40.416667
294094,br,caruaru,Caruaru,30,235375.0,-8.283333,-35.966667
294164,br,cascavel,Cascavel,18,257174.0,-24.95,-53.466667
294394,br,caucaia,Caucaia,6,275023.0,-3.7,-38.65
294452,br,caxias do sul,Caxias do Sul,23,381277.0,-29.1689,-51.1785
295256,br,colombo,Colombo,18,217002.0,-25.283333,-49.233333
295690,br,contagem,Contagem,15,627132.0,-19.916667,-44.1
296299,br,cuiaba,Cuiabá,14,521961.0,-15.583332999999998,-56.083333
296424,br,curitiba,Curitiba,18,1718433.0,-25.416667,-49.25
296749,br,diadema,Diadema,27,390641.0,-23.7,-46.616667
297018,br,duque de caxias,Duque de Caxias,21,818339.0,-22.790321,-43.325009
297108,br,embu,Embu,27,221737.0,-23.65,-46.85
299013,br,feira de santana,Feira de Santana,5,481926.0,-12.25,-38.95
299308,br,florianopolis,Florianópolis,26,412731.0,-27.583333000000003,-48.566667
299430,br,fortaleza,Fortaleza,6,2416920.0,-3.316667,-41.416667
299479,br,foz do iguacu,Foz do Iguaçu,18,293526.0,-25.55,-54.583333
299515,br,franca,Franca,27,305047.0,-20.533333,-47.4
300160,br,goiania,Goiânia,29,1171209.0,-16.666667,-49.266667
300236,br,governador valadares,Governador Valadares,15,250882.0,-18.85,-41.93333300000001
300331,br,gravatai,Gravataí,23,238782.0,-29.9426,-50.9933
300644,br,guaruja,Guarujá,27,310430.0,-24.0,-46.266667
300647,br,guarulhos,Guarulhos,27,1169601.0,-23.45068,-46.526175
300847,br,hortolandia,Hortolândia,27,203537.0,-22.85,-47.25
301296,br,imperatriz,Imperatriz,13,218110.0,-5.533333,-47.483333
301495,br,ipatinga,Ipatinga,15,228750.0,-19.5,-42.533333
301714,br,itabuna,Itabuna,5,205666.0,-14.8,-39.266667
301974,br,itapevi,Itapevi,27,201752.0,-23.55,-46.93333300000001
302068,br,itaquaquecetuba,Itaquaquecetuba,27,336686.0,-23.483333,-46.35
302254,br,jaboatao,Jaboatão,30,702632.0,-8.116667,-35.016667
302331,br,jacarei,Jacareí,27,213114.0,-23.316667,-45.966667
303185,br,joao pessoa,João Pessoa,17,650896.0,-7.116667,-34.866667
303277,br,joinville,Joinville,26,461312.0,-26.3,-48.833333
303467,br,juazeiro do norte,Juazeiro do Norte,6,225234.0,-7.2,-39.333333
303528,br,juiz de fora,Juiz de Fora,15,470201.0,-21.751667,-43.352778
303568,br,jundiai,Jundiaí,27,321595.0,-23.183333,-46.866667
304623,br,limeira,Limeira,27,289671.0,-22.561667,-47.40277800000001
304773,br,londrina,Londrina,18,471836.0,-23.3,-51.15
305015,br,macapa,Macapá,3,338937.0,0.033333,-51.05
305063,br,maceio,Maceió,2,955010.0,-9.666667,-35.716667
305165,br,mage,Magé,21,216342.0,-22.655556,-43.015278
305400,br,manaus,Manaus,4,1598227.0,-3.1133330000000004,-60.025278
305874,br,marilia,Marília,27,212222.0,-22.216667,-49.93333300000001
305892,br,maringa,Maringá,18,311727.0,-23.416667,-51.916667
306290,br,maua,Mauá,27,386077.0,-23.666667,-46.45
306797,br,moji das cruzes,Moji das Cruzes,27,325753.0,-23.516667,-46.18333300000001
307003,br,montes claros,Montes Claros,15,332384.0,-16.716667,-43.866667
307271,br,mossoro,Mossoró,22,202010.0,-5.191389,-37.344722
307586,br,natal,Natal,22,763057.0,-5.783333,-35.216667
307732,br,niteroi,Niterói,21,456461.0,-22.90214,-43.130301
307903,br,nova iguacu,Nova Iguaçu,21,1002129.0,-22.759188,-43.431887
308066,br,novo hamburgo,Novo Hamburgo,23,253846.0,-29.683333,-51.133333
308356,br,olinda,Olinda,30,366761.0,-8.016667,-34.85
308464,br,osasco,Osasco,27,677869.0,-23.566667,-46.783333
309675,br,paulista,Paulista,30,289977.0,-7.95,-34.883333
310107,br,pelotas,Pelotas,23,320680.0,-31.766667,-52.333333
310329,br,petropolis,Petrópolis,21,272694.0,-22.510833,-43.184444
310690,br,piracicaba,Piracicaba,27,342216.0,-22.716667,-47.633333
311285,br,ponta grossa,Ponta Grossa,18,292179.0,-25.083333,-50.15
311522,br,porto alegre,Porto Alegre,23,1372763.0,-30.033333,-51.2
312125,br,porto velho,Pôrto Velho,24,306206.0,-8.766667,-63.9
312293,br,praia grande,Praia Grande,27,250032.0,-24.0,-46.4
312402,br,presidente prudente,Presidente Prudente,27,209507.0,-22.116667,-51.366667
313011,br,recife,Recife,30,1478118.0,-8.05,-34.9
313586,br,ribeirao das neves,Ribeirão das Neves,15,406840.0,-19.783333,-44.1
313636,br,ribeirao preto,Ribeirão Prêto,27,551278.0,-21.166667,-47.8
313738,br,rio branco,Rio Branco,1,257645.0,-9.966667,-67.8
313816,br,rio de janeiro,Rio de Janeiro,21,6023742.0,-22.9,-43.233333
314559,br,salvador,Salvador,5,2711903.0,-12.983333,-38.516667
315017,br,santa luzia,Santa Luzia,15,243506.0,-19.783333,-43.866667
315093,br,santa maria,Santa Maria,23,249224.0,-29.683333,-53.8
315488,br,santo andre,Santo André,27,662387.0,-23.666667,-46.516667
315698,br,santos,Santos,27,411411.0,-23.95,-46.333333
315795,br,sao bernardo do campo,São Bernardo do Campo,27,743386.0,-23.7,-46.55
315870,br,sao carlos,São Carlos,27,205039.0,-22.016667,-47.9
316098,br,sao goncalo,São Gonçalo,21,939101.0,-22.800278,-43.025556
316193,br,sao joao de meriti,São João de Meriti,21,454855.0,-22.798614,-43.360894
316493,br,sao jose do rio preto,São José do Rio Prêto,27,374706.0,-20.8,-49.383333
316499,br,sao jose dos campos,São José dos Campos,27,613776.0,-23.183333,-45.883333
316515,br,sao jose dos pinhais,São José dos Pinhais,18,229988.0,-25.516667,-49.216667
316544,br,sao jose,São José,26,203142.0,-27.633333,-48.65
316559,br,sao leopoldo,São Leopoldo,23,209233.0,-29.766667,-51.15
316617,br,sao luis,São Luís,13,917252.0,-2.516667,-44.266667
316800,br,sao paulo,São Paulo,27,10021437.0,-23.473293,-46.665803
317127,br,sao vicente,São Vicente,27,324464.0,-23.966667,-46.383333
317626,br,serra,Serra,8,394160.0,-20.116667,-40.3
317745,br,sete lagoas,Sete Lagoas,15,201337.0,-19.45,-44.233333
325405,br,sorocaba,Sorocaba,27,558874.0,-23.483333,-47.45
325747,br,sumare,Sumaré,27,227982.0,-22.8,-47.283333
325808,br,suzano,Suzano,27,283319.0,-23.533333,-46.333333
325845,br,taboao da serra,Taboão da Serra,27,214527.0,-23.6,-46.766667
326438,br,taubate,Taubaté,27,251647.0,-23.033333,-45.55
326540,br,teresina,Teresina,20,744526.0,-5.0833330000000005,-42.816667
327467,br,uberaba,Uberaba,15,260847.0,-19.75,-47.916667
327472,br,uberlandia,Uberlândia,15,563545.0,-18.916667,-48.3
328025,br,varzea grande,Várzea Grande,14,249766.0,-15.65,-56.13333299999999
328301,br,viamao,Viamão,23,285274.0,-30.083333000000003,-51.033333
328737,br,vila velha,Vila Velha,8,394937.0,-20.333333,-40.283333
328898,br,vitoria da conquista,Vitória da Conquista,5,253144.0,-14.85,-40.85
328912,br,vitoria,Vitória,8,312662.0,-20.316667,-40.35
328974,br,volta redonda,Volta Redonda,21,249584.0,-22.533333,-44.116667
329460,bs,nassau,Nassau,23,227936.0,25.0833333,-77.35
329996,bw,gaborone,Gaborone,9,208411.0,-24.6463889,25.9119444
331713,by,brest,Brest,1,300716.0,52.1,23.7
333489,by,gomel,Gomel,2,481000.0,52.4416667,30.9833333
333982,by,hrodna,Hrodna,3,317366.0,53.6813889,23.8147222
337744,by,minsk,Minsk,4,1742123.0,53.9,27.566666700000006
347007,ca,calgary,Calgary,1,968475.0,51.083333,-114.083333
347736,ca,edmonton,Edmonton,1,822319.0,53.55,-113.5
348310,ca,halifax,Halifax,7,266012.0,44.65,-63.6
348323,ca,hamilton,Hamilton,8,653637.0,43.25,-79.833333
348762,ca,kitchener,Kitchener,8,409111.0,43.45,-80.5
349065,ca,london,London,8,346774.0,42.983333,-81.25
349487,ca,montreal,Montreal,10,3268513.0,45.5,-73.583333
349847,ca,oshawa,Oshawa,8,247989.0,43.9,-78.866667
349854,ca,ottawa,Ottawa,8,874433.0,45.416667,-75.7
350239,ca,quebec,Quebec,10,645623.0,46.8,-71.25
351416,ca,toronto,Toronto,8,4612187.0,43.666667,-79.416667
351536,ca,vancouver,Vancouver,2,1837970.0,49.25,-123.133333
351574,ca,victoria,Victoria,2,289625.0,48.43333300000001,-123.35
351795,ca,windsor,Windsor,8,278013.0,42.333333,-83.033333
351804,ca,winnipeg,Winnipeg,3,632069.0,49.883333,-97.166667
354658,cd,boma,Boma,8,344522.0,-5.85,13.05
355532,cd,bukavu,Bukavu,12,225431.0,-2.5083330000000004,28.860833000000003
359814,cd,kananga,Kananga,3,463556.0,-5.8958330000000005,22.417778
362418,cd,kinshasa,Kinshasa,6,7787832.0,-4.3,15.3
362696,cd,kisangani,Kisangani,9,539164.0,0.516667,25.2
363929,cd,likasi,Likasi,5,422726.0,-10.981389,26.733333
364623,cd,lubumbashi,Lubumbashi,5,1374808.0,-11.666667,27.466667
366650,cd,mbuji-mayi,Mbuji-Mayi,4,874974.0,-6.15,23.6
372856,cd,tshikapa,Tshikapa,3,267508.0,-6.416667,20.8
375522,cf,bangui,Bangui,18,684190.0,4.3666667000000015,18.5833333
381536,cg,brazzaville,Brazzaville,12,1115773.0,-4.2591667,15.284722199999996
390604,ch,zurich,Zurich,25,346185.0,47.366667,8.55
390670,ci,abidjan,Abidjan,82,3692570.0,5.309657,-4.012656
393540,ci,bouake,Bouaké,90,572149.0,7.6938460000000015,-5.030307
394012,ci,daloa,Daloa,80,217876.0,6.8773550000000006,-6.450221
404170,ci,yamoussoukro,Yamoussoukro,81,200659.0,6.820548,-5.276741
405115,cl,antofagasta,Antofagasta,3,309835.0,-23.65,-70.4
405999,cl,concepcion,Concepcion,6,215414.0,-36.833333,-73.05
406883,cl,iquique,Iquique,15,227501.0,-20.22083,-70.14305999999999
408723,cl,rancagua,Rancagua,8,212696.0,-34.17083,-70.74444
408885,cl,san bernardo,San Bernardo,12,249856.0,-33.6,-70.716667
409030,cl,santiago,Santiago,12,4837248.0,-33.45,-70.666667
409103,cl,talcahuano,Talcahuano,6,252969.0,-36.716667,-73.116667
409144,cl,temuco,Temuco,4,238131.0,-38.733333,-72.6
409300,cl,valparaiso,Valparaiso,1,282450.0,-33.047778,-71.601111
409349,cl,vina del mar,Vina del Mar,1,294553.0,-33.008056,-71.519722
410030,cm,bafoussam,Bafoussam,8,290798.0,5.4666667,10.4166667
410199,cm,bamenda,Bamenda,7,393871.0,5.9333333,10.1666667
410599,cm,bertoua,Bertoua,4,218217.0,4.5833333,13.6833333
411898,cm,douala,Douala,5,1338144.0,4.0502778,9.7
412142,cm,edea,Edéa,5,203170.0,3.8,10.133333300000002
412822,cm,garoua,Garoua,13,436932.0,9.3,13.4
413941,cm,kousseri,Kousséri,12,435986.0,12.0783333,15.0308333
414801,cm,maroua,Maroua,12,319974.0,10.5955556,14.324722199999998
415887,cm,mokolo,Mokolo,12,275750.0,10.7402778,13.8027778
416666,cm,ngaoundere,Ngaoundéré,10,231376.0,7.3166667,13.5833333
419064,cm,yaounde,Yaoundé,11,1299446.0,3.8666667,11.516666699999998
419723,cn,aksu,Aksu,13,340020.0,41.123056,80.264444
420673,cn,anqing,Anqing,1,358661.0,30.509167,117.050556
420729,cn,anshan,Anshan,19,1199275.0,41.123611,122.99
420757,cn,anshun,Anshun,18,351936.0,26.25,105.933333
420941,cn,anyang,Anyang,9,781129.0,36.099444,114.328889
422098,cn,baicheng,Baicheng,5,316970.0,45.616667,122.816667
425984,cn,baoding,Baoding,10,995652.0,38.851111,115.490278
426226,cn,baoji,Baoji,26,438295.0,34.365907,107.359045
427765,cn,beihai,Beihai,16,289568.0,21.483333,109.1
428994,cn,bengbu,Bengbu,1,576648.0,32.940833000000005,117.360833
429087,cn,benxi,Benxi,19,987717.0,41.288611,123.765
431331,cn,cangzhou,Cangzhou,10,527681.0,38.316667,116.866667
433555,cn,changchun,Changchun,5,2537421.0,43.88,125.322778
433612,cn,changde,Changde,11,517780.0,29.046378000000004,111.678304
435652,cn,changzhou,Changzhou,4,949018.0,31.783333,119.966667
436216,cn,chaoyang,Chaoyang,19,410005.0,41.570278,120.458611
436317,cn,chaozhou,Chaozhou,30,424787.0,23.665129,116.637864
437558,cn,chengde,Chengde,10,449325.0,40.77027800000001,118.169722
437595,cn,chengdu,Chengdu,32,3950437.0,30.666667,104.066667
441158,cn,chifeng,Chifeng,20,346654.0,42.268333,118.963611
443938,cn,chongqing,Chongqing,33,3967028.0,29.562778,106.552778
446063,cn,chuzhou,Chuzhou,1,280582.0,32.321944,118.297778
449885,cn,dalian,Dalian,19,2035307.0,38.912222,121.602222
449902,cn,daliang,Daliang,30,210411.0,22.850416,113.247006
450996,cn,dandong,Dandong,19,631973.0,40.129167,124.394722
453410,cn,datong,Datong,24,1052678.0,40.093611,113.291389
456016,cn,dezhou,Dezhou,25,379555.0,37.448611,116.2925
460881,cn,dongying,Dongying,25,306450.0,37.456389,118.485556
467360,cn,foshan,Foshan,30,627348.0,23.026771,113.131483
468586,cn,fushun,Fushun,19,1400646.0,41.7,123.883333
468762,cn,fuxin,Fuxin,19,689050.0,42.015556,121.658889
468997,cn,fuzhou,Fuzhou,7,1179720.0,26.061389,119.30611100000002
470274,cn,ganzhou,Ganzhou,3,249071.0,25.85,114.933333
474842,cn,guangyuan,Guangyuan,32,213365.0,32.442015000000005,105.822996
474855,cn,guangzhou,Guangzhou,30,3152825.0,23.116667,113.25
476330,cn,guilin,Guilin,16,649352.0,25.281944,110.286389
476449,cn,guiyang,Guiyang,18,1171633.0,26.583333000000003,106.716667
478479,cn,haibowan,Haibowan,20,218427.0,39.664722,106.812222
478620,cn,haikou,Haikou,31,615835.0,20.045833,110.341667
478639,cn,hailar,Hailar,20,211066.0,49.2,119.7
479219,cn,handan,Handan,10,1358318.0,36.566667,114.533333
479354,cn,hangu,Hangu,28,208369.0,39.248889,117.789167
479364,cn,hangzhou,Hangzhou,2,1878129.0,30.29365,120.161419
480266,cn,harbin,Harbin,8,3229883.0,45.75,126.65
480463,cn,hebi,Hebi,9,244662.0,35.899167,114.1925
480692,cn,hefei,Hefei,1,1388904.0,31.863889,117.280833
480737,cn,hegang,Hegang,8,743307.0,47.4,130.366667
482550,cn,hengshui,Hengshui,10,456356.0,37.732222,115.701111
482678,cn,hengyang,Hengyang,11,759602.0,26.888056,112.615
483549,cn,heze,Heze,25,254602.0,35.243056,115.441111
483881,cn,hohhot,Hohhot,20,774477.0,40.810556,111.652222
491664,cn,huaibei,Huaibei,1,903039.0,33.974444,116.791667
491758,cn,huainan,Huainan,1,1027655.0,32.626389,116.996944
491900,cn,huaiyin,Huaiyin,4,555230.0,33.588611,119.019167
497088,cn,huizhou,Huizhou,30,289201.0,23.083333,114.4
497455,cn,hulan ergi,Hulan Ergi,8,265344.0,47.204167,123.633333
500310,cn,jiamusi,Jiamusi,8,549549.0,46.833333,130.35
501163,cn,jiangmen,Jiangmen,30,532419.0,22.583333,113.083333
502308,cn,jiaojiang,Jiaojiang,2,470804.0,28.680278,121.442778
502638,cn,jiaozuo,Jiaozuo,9,517540.0,35.239722,113.233056
502842,cn,jiaxing,Jiaxing,2,466101.0,30.752198,120.749997
503851,cn,jilin,Jilin,5,1881977.0,43.850833,126.560278
503968,cn,jinan,Jinan,25,2069266.0,36.668333,116.997222
504328,cn,jingdezhen,Jingdezhen,3,310565.0,29.2947,117.207887
505064,cn,jining,Jining,20,258757.0,41.0275,113.105833
505065,cn,jining,Jining,25,450327.0,35.405,116.581389
505901,cn,jinxi,Jinxi,19,313247.0,40.764317,120.85327
506044,cn,jinzhou,Jinzhou,19,604269.0,41.107778,121.141667
506672,cn,jiujiang,Jiujiang,3,258807.0,29.607940000000006,115.887205
507411,cn,jixi,Jixi,8,403759.0,45.3,130.966667
508454,cn,kaifeng,Kaifeng,9,576915.0,34.744167,114.418611
510050,cn,kashi,Kashi,13,274717.0,39.454722,75.979722
513192,cn,kunming,Kunming,29,1023674.0,25.038889,102.718333
514619,cn,langfang,Langfang,10,720119.0,39.509722,116.694722
515364,cn,lanzhou,Lanzhou,15,1417742.0,36.056389,103.792222
515761,cn,laohekou,Laohekou,12,253112.0,32.385833,111.667778
519686,cn,liaocheng,Liaocheng,25,226930.0,36.443889,115.964722
519913,cn,liaoyang,Liaoyang,19,687890.0,41.226111,123.05611100000002
521999,cn,linfen,Linfen,24,232566.0,36.088889,111.518889
523343,cn,linxia,Linxia,15,202402.0,35.600278,103.206389
526440,cn,liuzhou,Liuzhou,16,763168.0,24.312582,109.389157
529698,cn,luancheng,Luancheng,10,597130.0,37.879167,114.651667
531841,cn,luohe,Luohe,9,417356.0,33.571667,114.035278
532721,cn,luoyang,Luoyang,9,1390581.0,34.683611,112.453611
532898,cn,luqiao,Luqiao,2,427890.0,28.580835,121.377148
533418,cn,luzhou,Luzhou,32,295056.0,28.872391,105.44049
533529,cn,maanshan,Maanshan,1,540198.0,31.695678000000004,118.498248
536534,cn,maoming,Maoming,30,473251.0,21.65,110.9
539733,cn,mianyang,Mianyang,32,264136.0,31.459339,104.754235
542062,cn,mudanjiang,Mudanjiang,8,665915.0,44.583333,129.6
543597,cn,nanchang,Nanchang,3,1871351.0,28.55,115.933333
543782,cn,nanchong,Nanchong,32,204368.0,30.775757,106.102938
544641,cn,nanjing,Nanjing,4,3087010.0,32.061667,118.777778
545205,cn,nanning,Nanning,16,803788.0,22.816667,108.316667
545863,cn,nantong,Nantong,4,666251.0,32.030278,120.874722
546298,cn,nanyang,Nanyang,9,251532.0,32.994722,112.532778
547040,cn,neijiang,Neijiang,32,546854.0,29.583536,105.06216
547998,cn,ningbo,Ningbo,2,719867.0,29.878186,121.549453
552064,cn,panzhihua,Panzhihua,32,461513.0,26.547902,101.705386
553246,cn,peking,Peking,22,7480601.0,39.928889,116.388333
554290,cn,pingdingshan,Pingdingshan,9,889675.0,33.738471999999994,113.301194
555020,cn,pingxiang,Pingxiang,3,372123.0,27.616667,113.85
556667,cn,puyang,Puyang,9,666322.0,35.702778,115.005278
560130,cn,qingdao,Qingdao,25,1642245.0,36.098611,120.371944
561403,cn,qinhuangdao,Qinhuangdao,10,759718.0,39.931667,119.588333
561724,cn,qiqihar,Qiqihar,8,882364.0,47.340833,123.967222
561821,cn,qitaihe,Qitaihe,8,345033.0,45.8,130.85
563476,cn,ranghulu,Ranghulu,8,226298.0,46.65,124.866667
564415,cn,rizhao,Rizhao,25,246387.0,35.390278,119.545833
564464,cn,rongcheng,Rongcheng,30,1001985.0,23.528858,116.364159
567285,cn,sanmenxia,Sanmenxia,9,357767.0,34.774722,111.181389
567306,cn,sanming,Sanming,7,209444.0,26.248611,117.61861100000002
570824,cn,shanghai,Shanghai,23,14608512.0,31.045556,121.399722
572269,cn,shangrao,Shangrao,3,318769.0,28.453221000000006,117.968604
574960,cn,shaoguan,Shaoguan,30,628749.0,24.8,113.583333
575208,cn,shaoxing,Shaoxing,2,421283.0,30.011019,120.571528
575219,cn,shaoyang,Shaoyang,11,649452.0,26.965893,111.241376
575397,cn,shashi,Shashi,12,498780.0,30.307222,112.244722
577223,cn,shenyang,Shenyang,19,3512192.0,41.792222,123.432778
577263,cn,shenzhen,Shenzhen,30,1002592.0,22.533333,114.133333
578701,cn,shihezi,Shihezi,13,572772.0,44.3,86.033333
581839,cn,shiyan,Shiyan,12,408055.0,32.6475,110.778056
583676,cn,shuangyashan,Shuangyashan,8,209521.0,46.636111,131.153889
588611,cn,suihua,Suihua,8,252245.0,46.640556,126.996944
590039,cn,suzhou,Suzhou,1,205130.0,33.636111,116.978889
590040,cn,suzhou,Suzhou,4,1343091.0,31.311389,120.618056
590867,cn,taian,Taian,25,750340.0,36.185278,117.12
591861,cn,taiyuan,Taiyuan,24,2722475.0,37.726944,112.470833
591892,cn,taizhou,Taizhou,4,612356.0,32.493333,119.910627
592962,cn,tanggu,Tanggu,28,535298.0,39.021111,117.646944
593628,cn,tangshan,Tangshan,10,2054526.0,37.3325,114.701389
597396,cn,tianjin,Tianjin,28,3766207.0,39.142222,117.176667
597527,cn,tianmen,Tianmen,12,224871.0,30.65,113.1
598527,cn,tieling,Tieling,19,333907.0,42.293056,123.841389
599769,cn,tongchuan,Tongchuan,26,223603.0,34.898799,108.950562
600090,cn,tongliao,Tongliao,20,261110.0,43.6125,122.265278
600107,cn,tongling,Tongling,1,312588.0,30.933333,117.816667
605016,cn,urumqi,Ürümqi,13,1508225.0,43.80096500000001,87.600459
609669,cn,weifang,Weifang,25,394732.0,36.71,119.101944
611322,cn,wenzhou,Wenzhou,2,865672.0,27.999416,120.66682
612385,cn,wuhan,Wuhan,12,4184206.0,30.580125,114.273405
612499,cn,wuhu,Wuhu,1,507524.0,31.14607,118.57068999999998
614491,cn,wuxi,Wuxi,4,1108647.0,31.568873,120.288573
614505,cn,wuxue,Wuxue,12,220661.0,29.850578,115.552504
614738,cn,wuzhou,Wuzhou,16,265846.0,23.483333,111.316667
616684,cn,xiamen,Xiamen,7,578337.0,24.479794,118.081869
617037,cn,xiangfan,Xiangfan,12,462956.0,32.042203,112.144794
618143,cn,xiantao,Xiantao,12,239406.0,30.383333,113.4
